"Table 320. Average undergraduate tuition and fees and room and board rates charged for full-time students in degree-granting institutions, by type and control ",,,,,,,,,,,,,,,,,,,,,
           of institution: 1964-65 through 2006-07         ,,,,,,,,,,,,,,,,,,,,,
[In current dollars],,,,,,,,,,,,,,,,,,,,,
Year and control of institution,"Total tuition, room, and board",,,,,Tuition and required fees (in-state for public institutions),,,,,Dormitory rooms,,,,,Board (7-day basis)\1\,,,,,
,All insti-tutions,4-year institutions,,,2-year,All insti-tutions,4-year institutions,,,2-year,All insti-tutions,4-year institutions,,,2-year,All insti-tutions,4-year institutions,,,2-year,
1999-2000 .......................,"7,310","8,275","8,912","7,852","4,720","2,506","3,349","3,768","3,091","1,338","2,440","2,519","2,516","2,521","1,549","2,364","2,406","2,628","2,239","1,834",
2000-01 .......................,"7,586","8,653","9,321","8,218","4,839","2,562","3,501","3,979","3,208","1,333","2,569","2,654","2,657","2,652","1,600","2,455","2,499","2,686","2,358","1,906",
2001-02 .......................,"8,022","9,196","9,948","8,715","5,137","2,700","3,735","4,273","3,409","1,380","2,723","2,816","2,838","2,801","1,722","2,598","2,645","2,837","2,504","2,036",
2002-03 ...................,"8,502","9,787","10,604","9,280","5,601","2,903","4,046","4,686","3,668","1,483","2,930","3,029","3,023","3,032","1,954","2,669","2,712","2,895","2,580","2,164",
2003-04\3\ ...........................,"9,247","10,674","11,679","10,063","6,012","3,319","4,587","5,363","4,141","1,702","3,106","3,212","3,232","3,199","2,089","2,822","2,875","3,084","2,724","2,221",
,,,,,,,,,,,,,,,,,,,,,
2004-05 ...........................,"9,864","11,426","12,588","10,734","6,375","3,629","5,027","5,939","4,512","1,849","3,304","3,418","3,427","3,413","2,174","2,931","2,981","3,222","2,809","2,353",
2005-06 ...........................,"10,454","12,108","13,424","11,335","6,492","3,874","5,351","6,399","4,765","1,935","3,545","3,664","3,654","3,672","2,251","3,035","3,093","3,372","2,899","2,306",
2006-07\4\ ...........................,"11,034","12,805","14,203","11,990","6,810","4,101","5,685","6,836","5,043","2,017","3,747","3,872","3,873","3,871","2,394","3,185","3,248","3,494","3,076","2,398",
,,,,,,,,,,,,,,,,,,,,,
Private insti-,,,,,,,,,,,,,,,,,,,,,
   tutions,,,,,,,,,,,,,,,,,,,,,
1964-65 .......................,"1,907",   ---,"2,202","1,810","1,455","1,088",   ---,"1,297","1,023",702,331,   ---,390,308,289,488,   ---,515,479,464,
1965-66 .....................,"2,005",   ---,"2,316","1,899","1,557","1,154",   ---,"1,369","1,086",768,356,   ---,418,330,316,495,   ---,529,483,473,
1966-67 ........................,"2,124",   ---,"2,456","2,007","1,679","1,233",   ---,"1,456","1,162",845,385,   ---,452,355,347,506,   ---,548,490,487,
1967-68 .......................,"2,205",   ---,"2,545","2,104","1,762","1,297",   ---,"1,534","1,237",892,392,   ---,455,366,366,516,   ---,556,501,504,
1968-69 ......................,"2,321",   ---,"2,673","2,237","1,876","1,383",   ---,"1,638","1,335",956,404,   ---,463,382,391,534,   ---,572,520,529,
,,,,,,,,,,,,,,,,,,,,,
1969-70 ......................,"2,530",   ---,"2,920","2,420","1,993","1,533",   ---,"1,809","1,468","1,034",436,   ---,503,409,413,561,   ---,608,543,546,
1970-71 .......................,"2,738",   ---,"3,163","2,599","2,103","1,684",   ---,"1,980","1,603","1,109",468,   ---,542,434,434,586,   ---,641,562,560,
1971-72 ......................,"2,917",   ---,"3,375","2,748","2,186","1,820",   ---,"2,133","1,721","1,172",494,   ---,576,454,449,603,   ---,666,573,565,
1972-73 .......................,"3,038",   ---,"3,512","2,934","2,273","1,898",   ---,"2,226","1,846","1,221",524,   ---,622,490,457,616,   ---,664,598,595,
1973-74 ......................,"3,164",   ---,"3,717","3,040","2,410","1,989",   ---,"2,375","1,925","1,303",533,   ---,622,502,483,642,   ---,720,613,624,
,,,,,,,,,,,,,,,,,,,,,
1974-75 .......................,"3,403",   ---,"4,076","3,156","2,591","2,117",   ---,"2,614","1,954","1,367",586,   ---,691,536,564,700,   ---,771,666,660,
1975-76 ......................,"3,663",   ---,"4,467","3,385","2,711","2,272",   ---,"2,881","2,084","1,427",636,   ---,753,583,572,755,   ---,833,718,712,
1976-77 ..................,"3,906","3,977","4,715","3,714","2,971","2,467","2,534","3,051","2,351","1,592",649,651,783,604,607,790,791,882,759,772,
1977-78 ...................,"4,158","4,240","5,033","3,967","3,148","2,624","2,700","3,240","2,520","1,706",698,702,850,648,631,836,838,943,800,811,
1978-79 .......................,"4,514","4,609","5,403","4,327","3,389","2,867","2,958","3,487","2,771","1,831",758,761,916,704,700,889,890,"1,000",851,858,
,,,,,,,,,,,,,,,,,,,,,
1979-80 .......................,"4,912","5,013","5,891","4,700","3,751","3,130","3,225","3,811","3,020","2,062",827,831,"1,001",768,766,955,957,"1,078",912,923,
1980-81 ......................,"5,470","5,594","6,569","5,249","4,303","3,498","3,617","4,275","3,390","2,413",918,921,"1,086",859,871,"1,054","1,056","1,209","1,000","1,019",
1981-82 ......................,"6,166","6,330","7,443","5,947","4,746","3,953","4,113","4,887","3,853","2,605","1,038","1,039","1,229",970,"1,022","1,175","1,178","1,327","1,124","1,119",
1982-83 ..........................,"6,920","7,126","8,536","6,646","5,364","4,439","4,639","5,583","4,329","3,008","1,181","1,181","1,453","1,083","1,177","1,300","1,306","1,501","1,234","1,179",
1983-84 ......................,"7,508","7,759","9,308","7,244","5,571","4,851","5,093","6,217","4,726","3,099","1,278","1,279","1,531","1,191","1,253","1,380","1,387","1,559","1,327","1,219",
,,,,,,,,,,,,,,,,,,,,,
1984-85 ......................,"8,202","8,451","10,243","7,849","6,203","5,315","5,556","6,843","5,135","3,485","1,426","1,426","1,753","1,309","1,424","1,462","1,469","1,647","1,405","1,294",
1985-86\2\ ........................,"8,885","9,228","11,034","8,551","6,512","5,789","6,121","7,374","5,641","3,672","1,553","1,557","1,940","1,420","1,500","1,542","1,551","1,720","1,490","1,340",
1986-87 ......................,"9,676","10,039","12,278","9,276","6,384","6,316","6,658","8,118","6,171","3,684","1,658","1,673","2,097","1,518","1,266","1,702","1,708","2,063","1,587","1,434",
1987-88 .......................,"10,512","10,659","13,075","9,854","7,078","6,988","7,116","8,771","6,574","4,161","1,748","1,760","2,244","1,593","1,380","1,775","1,783","2,060","1,687","1,537",
1988-89 .........................,"11,189","11,474","14,073","10,620","7,967","7,461","7,722","9,451","7,172","4,817","1,849","1,863","2,353","1,686","1,540","1,880","1,889","2,269","1,762","1,609",
,,,,,,,,,,,,,,,,,,,,,
1989-90 .......................,"12,018","12,284","15,098","11,374","8,670","8,147","8,396","10,348","7,778","5,196","1,923","1,935","2,411","1,774","1,663","1,948","1,953","2,339","1,823","1,811",
1990-91 .......................,"12,910","13,237","16,503","12,220","9,302","8,772","9,083","11,379","8,389","5,570","2,063","2,077","2,654","1,889","1,744","2,074","2,077","2,470","1,943","1,989",
1991-92 .......................,"13,892","14,258","17,572","13,201","9,632","9,419","9,759","12,037","9,060","5,754","2,221","2,241","2,825","2,042","1,788","2,252","2,257","2,709","2,098","2,090",
1992-93 .......................,"14,634","15,009","18,898","13,882","9,903","9,942","10,294","13,055","9,533","6,059","2,348","2,362","3,018","2,151","1,970","2,344","2,354","2,825","2,197","1,875",
1993-94 .......................,"15,496","15,904","20,097","14,640","10,406","10,572","10,952","13,874","10,100","6,370","2,490","2,506","3,277","2,261","2,067","2,434","2,445","2,946","2,278","1,970",
,,,,,,,,,,,,,,,,,,,,,
1994-95 ...................,"16,207","16,602","21,041","15,363","11,170","11,111","11,481","14,537","10,653","6,914","2,587","2,601","3,469","2,347","2,233","2,509","2,520","3,035","2,362","2,023",
1995-96 ...................,"17,208","17,612","22,502","16,198","11,563","11,864","12,243","15,605","11,297","7,094","2,738","2,751","3,680","2,473","2,371","2,606","2,617","3,218","2,429","2,098",
1996-97 .......................,"18,039","18,442","23,520","16,994","11,954","12,498","12,881","16,552","11,871","7,236","2,878","2,889","3,826","2,602","2,537","2,663","2,672","3,142","2,520","2,181",
1997-98 .......................,"18,516","19,070","24,116","17,717","12,921","12,801","13,344","17,229","12,338","7,464","2,954","2,964","3,756","2,731","2,672","2,762","2,761","3,132","2,648","2,785",
1998-99 ..........................,"19,368","19,929","25,443","18,430","13,319","13,428","13,973","18,340","12,815","7,854","3,075","3,091","3,914","2,850","2,581","2,865","2,865","3,188","2,765","2,884",
,,,,,,,,,,,,,,,,,,,,,
1999-2000 ......................,"20,186","20,706","26,534","19,127","13,965","14,081","14,588","19,307","13,361","8,235","3,224","3,237","4,070","2,976","2,808","2,882","2,881","3,157","2,790","2,922",
2000-01 .......................,"21,368","21,856","27,676","20,247","14,788","15,000","15,470","20,106","14,233","9,067","3,374","3,392","4,270","3,121","2,722","2,993","2,993","3,300","2,893","3,000",
2001-02 ......................,"22,413","22,896","29,115","21,220","15,825","15,742","16,211","21,176","14,923","10,076","3,567","3,576","4,478","3,301","3,116","3,104","3,109","3,462","2,996","2,633",
2002-03 ...........................,"23,340","23,787","31,043","21,965","17,753","16,383","16,826","22,716","15,416","10,651","3,752","3,764","4,724","3,478","3,232","3,206","3,197","3,602","3,071","3,870",
2003-04\3\ ...............................,"24,624","25,069","32,886","23,153","19,558","17,315","17,763","24,128","16,284","11,545","3,945","3,952","4,979","3,647","3,581","3,364","3,354","3,778","3,222","4,432",
,,,,,,,,,,,,,,,,,,,,,
2004-05 ...............................,"25,810","26,257","34,761","24,274","20,093","18,154","18,604","25,643","17,050","12,122","4,171","4,170","5,263","3,854","4,243","3,485","3,483","3,855","3,370","3,728",
2005-06  ...............................,"26,889","27,317","36,510","25,282","21,170","18,862","19,292","26,954","17,702","12,450","4,380","4,386","5,517","4,063","3,994","3,647","3,639","4,039","3,517","4,726",
2006-07\4\  ...............................,"28,384","28,896","38,400","26,802","20,167","19,991","20,492","28,524","18,826","12,620","4,607","4,613","5,700","4,302","4,240","3,787","3,792","4,175","3,675","3,307",
---Not available.  ,,,,,,,,,,,,,,,,,,,,,
"\1\Data for 1986-87 and later years reflect a basis of 20 meals per week rather than meals 7 days per week. Because of this revision in data collection and tabulation procedures, data are not entirely comparable with figures for previous years. In particular, data on board rates are somewhat higher than earlier years because they reflect the basis of 20 meals per week rather than meals served 7 days per week. Since many institutions serve fewer than 3 meals each day, the 1986-87 and later data reflect a more accurate accounting of total board costs. ",,,,,,,,,,,,,,,,,,,,,
\2\Room and board data are estimated.    ,,,,,,,,,,,,,,,,,,,,,
\3\Data have been revised from previously published figures.,,,,,,,,,,,,,,,,,,,,,
\4\Preliminary data based on fall 2005 enrollment weights.,,,,,,,,,,,,,,,,,,,,,
"NOTE: Data are for the entire academic year and are average total charges for full-time attendance. Tuition and fees were weighted by the number of full-time-equivalent undergraduates, but were not adjusted to reflect student residency. Room and board were based on full-time students. The data have not been adjusted for changes in the purchasing power of the dollar over time. Data through 1995-96 are for institutions of higher education, while later data are for degree-granting institutions. Degree-granting institutions grant associate’s or higher degrees and participate in Title IV federal financial aid programs. The degree-granting classification is very similar to the earlier higher education classification, but it includes more 2-year colleges and excludes a few higher education institutions that did not grant degrees. (See Guide to Sources for details.) Because of their low response rate, data for private 2-year colleges must be interpreted with caution. Detail may not sum to totals because of rounding.",,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Higher Education General Information Survey (HEGIS), ""Institutional Characteristics of Colleges and Universities"" surveys, 1965-66 through 1985-86; ""Fall Enrollment in Institutions of Higher Education"" surveys, 1965 through 1985; and 1986-87 through 2006-07 Integrated Postsecondary Education Data System, ""Fall Enrollment Survey"" (IPEDS-EF:86-99), ""Institutional Characteristics Survey"" (IPEDS-C:86-99), Spring 2001 through Spring 2006, and Fall 2000 through Fall 2006. (This table was prepared July 2007.)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
